id,hz,py,hv,pos,mn,audioUrl,mw,exSample,exPinyin,exMeaning,hskLevel,hanVietLevel,isPublished,createdAt
w-xiexie,谢谢,xièxie,tạ tạ,v,"{""vi"": ""cảm ơn"", ""en"": ""thank""}",,,谢谢你来我家。,Xièxie nǐ lái wǒjiā.,"{""vi"": ""Cảm ơn bạn đã đến nhà tôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-bukeqi,不客气,bù kèqi,bất khách khí,,"{""vi"": ""không có gì, đừng khách sáo"", ""en"": ""You’re welcome""}",,,不客气，我们是朋友。,"Bù kèqi, wǒmen shì péngyou.","{""vi"": ""Không có gì, chúng ta là bạn mà."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-zaijian,再见,zàijiàn,tái kiến,v,"{""vi"": ""tạm biệt, hẹn gặp lại"", ""en"": ""bye""}",,,老师，再见！,"Lǎoshī, zàijiàn!","{""vi"": ""Tạm biệt thầy!"", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-yixiar,一下儿,yīxiàr,nhất hạ nhi,,"{""vi"": ""một lát, một lúc"", ""en"": ""one time, once""}",,,我想问一下儿。,Wǒ xiǎng wèn yīxiàr.,"{""vi"": ""Tôi muốn hỏi một chút."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kou,口,kǒu,khẩu,n,"{""vi"": ""miệng, mồm"", ""en"": ""mouth""}",,,他的口里有糖果。,Tā de kǒu lǐ yǒu tángguǒ.,"{""vi"": ""Trong miệng anh ấy có kẹo."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-gongzuo,工作,gōngzuò,công tác,v,"{""vi"": ""làm việc"", ""en"": ""to work""}",,,我在银行工作。,Wǒ zài yínháng gōngzuò.,"{""vi"": ""Tôi làm việc ở ngân hàng."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-shi,事,shì,sự,n,"{""vi"": ""chuyện, việc"", ""en"": ""thing""}",,"件, 回 [jiàn, huí]",他忙很多事。,Tā máng hěn duō shì.,"{""vi"": ""Anh ấy bận nhiều việc."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-wenti,问题,wèntí,vấn đề,n,"{""vi"": ""vấn đề; câu hỏi"", ""en"": ""question; problem; issue""}",,,我有一个问题。,Wǒ yǒu yí ge wèntí.,"{""vi"": ""Tôi có một câu hỏi."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-hao,号,hào,hiệu,n,"{""vi"": ""số, số hiệu, số thứ tự"", ""en"": ""number""}",,,请告诉我你的电话号码。,Qǐng gàosu wǒ nǐ de diànhuà hàomǎ.,"{""vi"": ""Hãy cho tôi biết số điện thoại của bạn."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mao,猫,māo,miêu,n,"{""vi"": ""mèo"", ""en"": ""cat""}",,"只, 种, 群, 窝, 个 [zhī, zhǒng, qún, wō, gè]",我有两只猫。,Wǒ yǒu liǎng zhī māo.,"{""vi"": ""Tôi có hai con mèo."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-gou,狗,gǒu,cẩu,n,"{""vi"": ""con chó, chó, cún"", ""en"": ""dog""}",,"条, 只, 群 [tiáo, zhī, qún]",朋友送了我一只狗。,Péngyǒu sòngle wǒ yī zhǐ gǒu.,"{""vi"": ""Một người bạn đã tặng tôi một con chó."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-tian,天,tiān,thiên,n,"{""vi"": ""trời; khí trời"", ""en"": ""[n] day; sky; weather; [m] used to caculate days""}",,,晴天适合去户外。,Qíngtiān shìhé qù hùwài.,"{""vi"": ""Ngày nắng thích hợp ra ngoài."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-tianqi,天气,tiānqì,thiên khí,n,"{""vi"": ""thời tiết"", ""en"": ""weather""}",,,昨天天气很冷。,Zuótiān tiānqì hěn lěng.,"{""vi"": ""Thời tiết hôm qua rất lạnh."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xue,雪,xuě,tuyết,n,"{""vi"": ""tuyết"", ""en"": ""snow""}",,"场, 堆  [chǎng, duī]",今天下雪了。,Jīntiān xià xuě le.,"{""vi"": ""Hôm nay tuyết rơi rồi."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-yu,雨,yǔ,vũ,n,"{""vi"": ""mưa"", ""en"": ""rain""}",,"场, 阵, 滴 [chǎng, zhèn, dī]",雨下得很大。,Yǔ xià de hěn dà.,"{""vi"": ""Mưa rơi rất to."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-cai,菜,cài,thái,n,"{""vi"": ""đồ ăn, món ăn"", ""en"": ""dish""}",,"种, 棵, 道, 个, 盘 [zhǒng, kē, dào, gè, pán]",你喜欢吃什么菜？,Nǐ xǐhuan chī shénme cài?,"{""vi"": ""Bạn thích ăn món gì?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qingcai,青菜,qīngcài,thái,n,"{""vi"": ""rau; rau xanh"", ""en"": ""vegetable; greens""}",,,我每天都吃青菜。,Wǒ měitiān dōu chī qīngcài.,"{""vi"": ""Tôi ngày nào cũng ăn rau xanh."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-cha,茶,chá,trà,n,"{""vi"": ""trà"", ""en"": ""tea""}",,"杯, 壶, 碗, 盒 [bēi, hú, wǎn, hé]",这杯茶很好喝。,Zhè bēi chá hěn hǎo hē.,"{""vi"": ""Cốc trà này rất ngon."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-jidan,鸡蛋,jīdàn,kê đản,n,"{""vi"": ""trứng gà"", ""en"": ""egg""}",,"个, 枚, 筐, 箱, 打 [gè, méi, kuāng, xiāng, dǎ]",我喜欢吃鸡蛋。,Wǒ xǐhuan chī jīdàn.,"{""vi"": ""Tôi thích ăn trứng."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-nai,奶,nǎi,nãi,n,"{""vi"": ""sữa"", ""en"": ""milk""}",,"杯, 瓶, 袋, 桶 [bēi, píng, dài, tǒng]",我每天都喝奶。,Wǒ měitiān dōu hē nǎi.,"{""vi"": ""Hàng ngày tôi đều uống sữa."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-niunai,牛奶,niúnǎi,ngưu nãi,n,"{""vi"": ""sữa bò"", ""en"": ""milk""}",,"杯, 袋, 瓶, 盒, 箱, 桶 [bēi, dài, píng, hé, xiāng, tǒng]",我喜欢喝牛奶。,Wǒ xǐhuan hē niúnǎi.,"{""vi"": ""Tôi thích uống sữa bò."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shui,水,shuǐ,thủy,n,"{""vi"": ""nước"", ""en"": ""water""}",,"杯, 滴, 瓶 [bēi, dī, píng]",请给我一杯水。,Qǐng gěi wǒ yī bēi shuǐ.,"{""vi"": ""Vui lòng cho tôi một cốc nước."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-laoshi,老师,lǎoshī,lão sư,n,"{""vi"": ""thầy, cô giáo"", ""en"": ""teacher""}",,"个, 位, 名 [gè, wèi, míng]",我是一名英语老师。,Wǒ shì yī míng yīngyǔ lǎoshī.,"{""vi"": ""Tôi là một giáo viên tiếng Anh."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ba,爸,bà,ba,n,"{""vi"": ""bố, ba, cha (gọi tắt)"", ""en"": ""father, dad""}",,,我爸喜欢喝茶。,Wǒ bà xǐhuan hēchá.,"{""vi"": ""Cha tôi thích uống trà."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-baba,爸爸,bàba,ba ba,n,"{""vi"": ""bố, ba, cha"", ""en"": ""father, dad""}",,"个, 位, 名 [gè, wèi, míng]",我爸爸是老师。,Wǒ bàba shì lǎoshī.,"{""vi"": ""Bố tôi là thầy giáo."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-di,弟,dì,đệ,n,"{""vi"": ""em trai (gọi tắt)"", ""en"": ""younger brother""}",,"个, 位, 名 [gè, wèi, míng]",这是我的弟弟。,Zhè shì wǒ de dìdi.,"{""vi"": ""Đây là em trai của tôi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-didi,弟弟,dìdi,đệ đệ,n,"{""vi"": ""em trai"", ""en"": ""younger brother""}",,"个, 位, 名 [gè, wèi, míng]",我没有弟弟。,Wǒ méiyǒu dìdi.,"{""vi"": ""Tôi không có em trai."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ge,哥,gē,ca,n,"{""vi"": ""anh trai (gọi tắt)"", ""en"": ""elder brother""}",,"个, 位, 名, 些 [gè, wèi, míng, xiē]",我哥很聪明。,Wǒ gē hěn cōngmíng.,"{""vi"": ""Anh trai tôi rất thông minh."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-gege,哥哥,gēge,ca ca,n,"{""vi"": ""anh trai"", ""en"": ""elder brother""}",,"个, 位, 名, 些 [gè, wèi, míng, xiē]",我的哥哥很高。,Wǒ de gēge hěn gāo.,"{""vi"": ""Anh trai tôi rất cao."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jie,姐,jiě,tỷ,n,"{""vi"": ""chị gái (gọi tắt)"", ""en"": ""elder sister""}",,"个，位 [gè, wèi]",我姐比我高。,Wǒ jiě bǐ wǒ gāo.,"{""vi"": ""Chị tôi cao hơn tôi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jiejie,姐姐,jiějie,tỷ tỷ,n,"{""vi"": ""chị gái"", ""en"": ""elder sister""}",,"个，位 [gè, wèi]",我有一个姐姐。,Wǒ yǒu yī gè jiějie.,"{""vi"": ""Tôi có một người chị gái."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ma,妈,mā,ma,n,"{""vi"": ""mẹ (gọi tắt)"", ""en"": ""mom; mother""}",,"个, 位, 名 [gè, wèi, míng]",我妈给我买衣服。,Wǒ mā gěi wǒ mǎi yīfu.,"{""vi"": ""Mẹ mua quần áo cho tôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mama,妈妈,māma,ma ma,n,"{""vi"": ""mẹ"", ""en"": ""mom; mother""}",,"个, 位, 名 [gè, wèi, míng]",妈妈在家等我。,Māma zài jiā děng wǒ.,"{""vi"": ""Mẹ ở nhà đợi tôi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-mei,妹,mèi,muội,n,"{""vi"": ""em gái (gọi tắt)"", ""en"": ""younger sister""}",,"个，位 [gè, wèi]",我妹今天很高兴。,Wǒ mèi jīntiān hěn gāoxìng.,"{""vi"": ""Em gái tôi hôm nay rất vui."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-meimei,妹妹,mèimei,muội muội,n,"{""vi"": ""em gái"", ""en"": ""younger sister""}",,"个，位 [gè, wèi]",妹妹喜欢吃苹果。,Mèimei xǐhuan chī píngguǒ.,"{""vi"": ""Em gái thích ăn táo."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-gongsi,公司,gōngsī,công ty,n,"{""vi"": ""công ty"", ""en"": ""company; corporation""}",,家 [jiā],我在一家公司工作。,Wǒ zài yì jiā gōngsī gōngzuò.,"{""vi"": ""Tôi làm việc ở một công ty."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-chaoshi,超市,chāoshì,siêu thị,n,"{""vi"": ""siêu thị"", ""en"": ""supermarket""}",,家， 个 [jiā，gè],我家附近有一家大型超市。,Wǒ jiā fùjìn yǒu yì jiā dàxíng chāoshì.,"{""vi"": ""Gần nhà tôi có một siêu thị lớn."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-zhan,站,zhàn,trạm,n,"{""vi"": ""ga, bến, trạm"", ""en"": ""station, stop""}",,"个, 座, 排, 类 [gè, zuò, pái, lèi]",他在火车站等我。,Tā zài huǒchē zhàn děng wǒ.,"{""vi"": ""Anh ấy đang đợi tôi ở ga xe lửa."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-huochezhan,火车站,huǒchē zhàn,hỏa xa trạm,n,"{""vi"": ""trạm xe lửa, ga tàu, ga xe lửa"", ""en"": ""train station""}",,"座, 个 [zuò, gè]",那是在去火车站的路上。,Nà shì zài qù huǒchē zhàn de lùshàng.,"{""vi"": ""Lúc đó đang trên đường tới ga tàu."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-fangjian,房间,fángjiān,phòng gian,n,"{""vi"": ""căn phòng"", ""en"": ""room""}",,"个, 间, 套 [gè, jiān, tào]",我的房间很大。,Wǒ de fángjiān hěn dà.,"{""vi"": ""Phòng của tôi rất rộng."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-dong,东,dōng,đông,n,"{""vi"": ""đông"", ""en"": ""east""}",,,东方有很多人。,Dōngfāng yǒu hěnduō rén.,"{""vi"": ""Phía đông có rất nhiều người."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-nan,南,nán,nam,n,"{""vi"": ""nam, phía nam"", ""en"": ""south""}",,,我家在南方。,Wǒ jiā zài nánfāng.,"{""vi"": ""Nhà tôi ở phía nam."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-xi,西,xī,tây,n,"{""vi"": ""tây"", ""en"": ""west""}",,,我家在西面。,Wǒjiā zài xī miàn.,"{""vi"": ""Nhà tôi ở phía tây."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-bei,北,běi,bắc,n,"{""vi"": ""bắc"", ""en"": ""north""}",,,北方冬天很冷。,Běifāng dōngtiān hěn lěng.,"{""vi"": ""Mùa đông ở phía bắc rất lạnh."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-jian,间,jiān,gian,n,"{""vi"": ""giữa"", ""en"": ""between""}",,,他站在我和你中间。,Tā zhàn zài wǒ hé nǐ zhōngjiān.,"{""vi"": ""Anh ấy đứng giữa tôi và bạn."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qian,前,qián,tiền,n,"{""vi"": ""chỉ phương hướng [trước]"", ""en"": ""front; past, former times""}",,,孩子们在前院玩耍。,Háizimen zài qián yuàn wánshuǎ.,"{""vi"": ""Bọn trẻ đang chơi ở sân trước."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-hou,后,hòu,hậu,n,"{""vi"": ""sau"", ""en"": ""back; behind; after; later""}",,,回家后他看电视。,Huíjiā hòu tā kàn diànshì.,"{""vi"": ""Sau khi về nhà anh ấy xem tivi."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-shang,上,shàng,thượng,v,"{""vi"": ""chỉ xu hướng [lên; đi lên; lên xe; lên tàu]"", ""en"": ""to go up; to get on; to board""}",,,他上楼了。,Tā shàng lóu le.,"{""vi"": ""Anh ấy đã lên lầu."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xia,下,xià,hạ,n,"{""vi"": ""chỉ xu hướng [xuống; rơi; đi xuống]"", ""en"": ""to go down; to fall""}",,,坐下，安静点！,"Zuò xià, ānjìng diǎn!","{""vi"": ""Hãy ngồi xuống và im lặng!"", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ge2,歌,gē,ca,n,"{""vi"": ""bài hát"", ""en"": ""song""}",,"首, 支, 段 [shǒu, zhī, duàn]",我喜欢唱中国歌。,Wǒ xǐhuan chàng zhōngguó gē.,"{""vi"": ""Tôi thích hát bài hát Trung Quốc."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-bei2,杯,bēi,bôi,mw,"{""vi"": ""cốc, ly"", ""en"": ""a measure word for cups""}",,,请给我一杯水。,Qǐng gěi wǒ yī bēi shuǐ.,"{""vi"": ""Vui lòng cho tôi một cốc nước."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-yao,药,yào,dược,n,"{""vi"": ""thuốc"", ""en"": ""medicine; drug""}",,"片, 粒, 包, 瓶 [piàn, lì, bāo, píng]",我吃了药。,Wǒ chī le yào.,"{""vi"": ""Tôi đã uống thuốc."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-beizi,杯子,bēizi,bôi tử,n,"{""vi"": ""cốc, chén, ly"", ""en"": ""cup""}",,"个, 只, 种 [gè, zhī, zhǒng]",杯子里有水。,Bēizi lǐ yǒu shuǐ.,"{""vi"": ""Trong cốc có nước."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dongxi,东西,dōngxi,đông tây,n,"{""vi"": ""đồ đạc, đồ, vật"", ""en"": ""thing""}",,"个, 件, 种 [gè, jiàn, zhǒng]",这个东西很贵。,Zhège dōngxi hěn guì.,"{""vi"": ""Đồ này rất đắt."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-yifu,衣服,yīfu,y phục,n,"{""vi"": ""quần áo"", ""en"": ""clothes""}",,"套, 件, 包, 箱 [tào, jiàn, bāo, xiāng]",衣服在桌子上。,Yīfu zài zhuōzi shàng.,"{""vi"": ""Quần áo ở trên bàn."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-qian2,钱,qián,tiền,n,"{""vi"": ""tiền"", ""en"": ""money""}",,"块, 元, 角, 毛, 分, 笔 [kuài, yuán, jiǎo, máo, fēn, bǐ]",我没有钱。,Wǒ méiyǒu qián.,"{""vi"": ""Tôi không có tiền."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-qianbao,钱包,qiánbāo,tiền bao,n,"{""vi"": ""ví tiền"", ""en"": ""wallet""}",,个 [gè],钱包在桌子上。,Qiánbāo zài zhuōzi shàng.,"{""vi"": ""Ví tiền ở trên bàn."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-beijing,北京,běijīng,bắc kinh,n,"{""vi"": ""Bắc Kinh"", ""en"": ""Beijing""}",,,北京有很多人。,Běijīng yǒu hěn duō rén.,"{""vi"": ""Bắc Kinh có rất nhiều người."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-zhongguo,中国,zhōngguó,trung quốc,n,"{""vi"": ""nước Trung Quốc"", ""en"": ""China""}",,,北京是中国的首都。,Běijīng shì zhōngguó de shǒudū.,"{""vi"": ""Bắc Kinh là thủ đô của Trung Quốc."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-duo,多,duō,đa,pron,"{""vi"": ""bao nhiêu; đến mức nào"", ""en"": ""how; to what extent""}",,,你多高？,Nǐ duō gāo?,"{""vi"": ""Bạn cao bao nhiêu?"", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-duoshao,多少,duōshao,đa thiểu,pron,"{""vi"": ""bao nhiêu"", ""en"": ""how much, how many""}",,,你家有多少人？,Nǐ jiā yǒu duōshao rén?,"{""vi"": ""Nhà bạn có bao nhiêu người?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-wo,我,wǒ,ngã,pron,"{""vi"": ""tôi, tao, tớ [ngôi thứ nhất]"", ""en"": ""I, me""}",,,我有一个朋友。,Wǒ yǒu yīgè péngyou.,"{""vi"": ""Tôi có một người bạn."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-ni,你,nǐ,nhĩ,pron,"{""vi"": ""anh, chị, bạn, …"", ""en"": ""you""}",,,你好吗？,Nǐ hǎo ma?,"{""vi"": ""Bạn khỏe không?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nin,您,nín,nẫm,pron,"{""vi"": ""ngài, ông, bà [thể hiệntrọng]"", ""en"": ""[term of respect] you""}",,,请您稍等一下，我马上来。,"Qǐng nín shāo děng yīxià, wǒ mǎshàng lái.","{""vi"": ""Xin ông/bà/ngài chờ tôi một chút, tôi sẽ đến ngay."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shei,谁,shéi,thùy,pron,"{""vi"": ""ai"", ""en"": ""who""}",,,你是谁？,Nǐ shì shéi?,"{""vi"": ""Bạn là ai?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-ta,他,tā,tha,pron,"{""vi"": ""anh ấy, ông ấy [ngôi 3nam]"", ""en"": ""he, him""}",,,他会说汉语。,Tā huì shuō hànyǔ.,"{""vi"": ""Anh ấy biết nói tiếng Trung."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-ta2,她,tā,tha,pron,"{""vi"": ""cô ấy, bà ấy [ngôi 3"", ""en"": ""she, her""}",,,她是我的朋友。,Tā shì wǒ de péngyou.,"{""vi"": ""Cô ấy là bạn của tôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiaojie,小姐,xiǎojiě,tiểu thư,n,"{""vi"": ""tiểu thư, cô, em"", ""en"": ""miss, young lady""}",,"位, 名, 个, 些 [wèi, míng, gè, xiē]",王小姐是老师。,Wáng xiǎojiě shì lǎoshī.,"{""vi"": ""Cô Vương là giáo viên."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xiansheng,先生,xiānshēng,tiên sinh,n,"{""vi"": ""quý ông [gọi tôn kính]"", ""en"": ""sir; husband""}",,"个, 位, 名, 些 [gè, wèi, míng, xiē]",王先生是老师。,Wáng xiānshēng shì lǎoshī.,"{""vi"": ""Ông Vương là giáo viên."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-wangyou,网友,wǎngyǒu,võng hữu,n,"{""vi"": ""bạn trên mạng"", ""en"": ""net friend""}",,"位, 个, 名 [wèi, gè, míng]",我有很多网友。,Wǒ yǒu hěnduō wǎngyǒu.,"{""vi"": ""Tôi có nhiều bạn trên mạng."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zai,在,zài,tại,v,"{""vi"": ""ở; tồn tại; có mặt tại"", ""en"": ""to be at; to be in; to exist""}",,,我在家。,Wǒ zài jiā.,"{""vi"": ""Tôi ở nhà."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-zaijia,在家,zàijiā,tại gia,v,"{""vi"": ""ở nhà"", ""en"": ""at home""}",,,他们在家学习。,Tāmen zàijiā xuéxí.,"{""vi"": ""Họ học ở nhà."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-qu,去,qù,khứ,v,"{""vi"": ""đi"", ""en"": ""go""}",,,他昨天去北京。,Tā zuótiān qù běijīng.,"{""vi"": ""Hôm qua anh ấy đi Bắc Kinh."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-zou,走,zǒu,tẩu,v,"{""vi"": ""đi, đi bộ, đi qua"", ""en"": ""go, walk""}",,,咱们同路，我和你一起走。,"Zánmen tóng lù, wǒ hé nǐ yīqǐ zǒu.","{""vi"": ""Chúng ta cùng một con đường, tôi sẽ đi cùng bạn."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-zuo,坐,zuò,tọa,v,"{""vi"": ""ngồi"", ""en"": ""sit""}",,,我们坐最后一排吧。,Wǒmen zuò zuìhòu yī pái ba.,"{""vi"": ""Chúng ta hãy ngồi ở hàng cuối nhé."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-zhu,住,zhù,trú,v,"{""vi"": ""ở tại, ở, sống, cư trú"", ""en"": ""live""}",,,你住的房子是哪一种？,Nǐ zhù de fángzi shì nǎ yī zhǒng?,"{""vi"": ""Bạn đang sống ở ngôi nhà nào?"", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-he,喝,hē,hát,n,"{""vi"": ""uống"", ""en"": ""drink""}",,,我每天早上喝牛奶。,Wǒ měitiān zǎoshang hē niúnǎi.,"{""vi"": ""Tôi uống sữa mỗi buổi sáng."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
