topicId,rootId,wordId,type,group,title,question,answers,correctAnswer,explanation,audio_script,image_description,wordGroup,level,order
t-hsk1-cumtucodinh,,w-zenme,C3,C,"{""vi"": ""Đúng/Sai cách dùng"", ""en"": ""True/False usage""}","{""vi"": ""Phán đoán đúng sai:\n你怎么了？\nNǐ zěnme le?""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""A""}","{""vi"": ""你怎么了？\nNǐ zěnme le?\nDịch: Bạn sao thế?""}",,,[],HSK1,42
t-hsk1-cumtucodinh,,w-zenme,C4,C,"{""vi"": ""Điền trống — hội thoại"", ""en"": ""Fill blank — dialogue""}","{""vi"": ""Điền từ vào chỗ trống:\nA: 明天___去超市？\nMíngtiān ___ qù chāoshì?\nB: 我坐车去。\nWǒ zuò chē qù.""}","{""vi"": [""A. 对不起 [duìbuqǐ]"", ""B. 干什么 [gànshénme]"", ""C. 怎么 [zěnme]"", ""D. 有时候 [yǒu shíhou]""]}","{""vi"": ""C""}","{""vi"": ""A: 明天怎么去超市？\nB: 我坐车去。\nMíngtiān zěnme qù chāoshì?\nWǒ zuò chē qù.\n\nDịch:\nA: Ngày mai đi siêu thị bằng cách nào?\nB: Tôi đi xe đến.""}",,,[],HSK1,43
t-hsk1-cumtucodinh,,w-zenmeyang,A1,A,"{""vi"": ""Nhìn chữ Hán → Chọn nghĩa"", ""en"": ""See Hanzi → Choose meaning""}","{""vi"": ""Chọn nghĩa đúng của từ sau:\n怎么样 [zěnme yàng]""}","{""vi"": [""A. cái gì"", ""B. như thế nào, ra sao"", ""C. xin lỗi"", ""D. không có gì""]}","{""vi"": ""B""}","{""vi"": ""怎么样 [zěnme yàng]: như thế nào, ra sao""}",,,[],HSK1,44
t-hsk1-cumtucodinh,,w-zenmeyang,A2,A,"{""vi"": ""Nghe audio → Chọn từ"", ""en"": ""Listen → Choose word""}","{""vi"": ""Nghe audio và chọn đáp án đúng:\n[zěnme yàng]""}","{""vi"": [""A. 怎么 [zěnme]"", ""B. 没事儿 [méishìr]"", ""C. 没什么 [méi shénme]"", ""D. 怎么样 [zěnme yàng]""]}","{""vi"": ""D""}","{""vi"": ""怎么样 [zěnme yàng]: như thế nào, ra sao""}",怎么样,,[],HSK1,45
t-hsk1-cumtucodinh,,w-zenmeyang,A3,A,"{""vi"": ""Đúng/Sai nghĩa"", ""en"": ""True/False meaning""}","{""vi"": ""Phán đoán đúng sai:\n怎么样 [zěnme yàng] = như thế nào, ra sao""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""A""}","{""vi"": ""怎么样 [zěnme yàng]: như thế nào, ra sao""}",,,[],HSK1,46
t-hsk1-cumtucodinh,,w-zenmeyang,A4,A,"{""vi"": ""Nhìn chữ Hán → Chọn pinyin + nghĩa"", ""en"": ""See Hanzi → Choose pinyin + meaning""}","{""vi"": ""Chọn phiên âm và nghĩa của từ:\n怎么样""}","{""vi"": [""A. [shénme] - cái gì"", ""B. [zěnme yàng] - như thế nào, ra sao"", ""C. [zěnme] - thế nào"", ""D. [gànshénme] - làm gì đó""]}","{""vi"": ""B""}","{""vi"": ""怎么样 [zěnme yàng]: như thế nào, ra sao""}",,,[],HSK1,47
t-hsk1-cumtucodinh,,w-zenmeyang,B1,B,"{""vi"": ""Nhìn nghĩa → Chọn chữ Hán"", ""en"": ""See meaning → Choose Hanzi""}","{""vi"": ""Chọn \""như thế nào, ra sao\"":""}","{""vi"": [""A. 对不起 [duìbuqǐ]"", ""B. 没关系 [méi guānxì]"", ""C. 怎么样 [zěnme yàng]"", ""D. 再见 [zàijiàn]""]}","{""vi"": ""C""}","{""vi"": ""怎么样 [zěnme yàng]: như thế nào, ra sao""}",,,[],HSK1,48
t-hsk1-cumtucodinh,,w-zenmeyang,B2,B,"{""vi"": ""Nhìn ảnh → Chọn từ"", ""en"": ""See image → Choose word""}",None,None,None,None,,None,[],HSK1,49
t-hsk1-cumtucodinh,,w-zenmeyang,B3,B,"{""vi"": ""Đọc nghĩa → Gõ chữ Hán"", ""en"": ""Read meaning → Type Hanzi""}","{""vi"": ""Nhập chữ Hán của:\nnhư thế nào, ra sao""}",None,"{""vi"": ""怎么样""}","{""vi"": ""怎么样 [zěnme yàng]: như thế nào, ra sao""}",,,[],HSK1,50
t-hsk1-cumtucodinh,,w-zenmeyang,C1,C,"{""vi"": ""Điền trống — câu đơn"", ""en"": ""Fill blank — single sentence""}","{""vi"": ""Điền từ vào chỗ trống:\n你觉得这家餐厅的菜___？\nNǐ juéde zhè jiā cāntīng de cài ___？""}","{""vi"": [""A. 怎么 [zěnme]"", ""B. 怎么样 [zěnme yàng]"", ""C. 什么 [shénme]"", ""D. 对不起 [duìbuqǐ]""]}","{""vi"": ""B""}","{""vi"": ""你觉得这家餐厅的菜怎么样？\nNǐ juéde zhè jiā cāntīng de cài zěnme yàng?\nDịch: Bạn thấy đồ ăn của nhà hàng này thế nào?""}",,,[],HSK1,51
t-hsk1-cumtucodinh,,w-zenmeyang,C2,C,"{""vi"": ""Chọn câu đúng"", ""en"": ""Choose correct sentence""}","{""vi"": ""Chọn câu đúng:""}","{""vi"": [""A. 你最近身体怎么样？\nNǐ zuìjìn shēntǐ zěnme yàng?"", ""B. 你最近怎么样身体？\nNǐ zuìjìn zěnme yàng shēntǐ?""]}","{""vi"": ""A""}","{""vi"": ""Câu đúng:\n你最近身体怎么样？\nNǐ zuìjìn shēntǐ zěnme yàng?\nDịch: Gần đây sức khỏe của bạn thế nào?\n\nCâu sai:\n你最近怎么样身体？\nNǐ zuìjìn zěnme yàng shēntǐ?\nLý do: Sai cấu trúc — 怎么样 là vị ngữ, phải đứng sau chủ ngữ 身体, không thể đứng trước.""}",,,[],HSK1,52
t-hsk1-cumtucodinh,,w-zenmeyang,C3,C,"{""vi"": ""Đúng/Sai cách dùng"", ""en"": ""True/False usage""}","{""vi"": ""Phán đoán đúng sai:\n你觉得这个电影怎么样？\nNǐ juéde zhège diànyǐng zěnme yàng?""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""A""}","{""vi"": ""你觉得这个电影怎么样？\nNǐ juéde zhège diànyǐng zěnme yàng?\nDịch: Bạn thấy bộ phim này thế nào?""}",,,[],HSK1,53
